date,currency_code,name,local_price,dollar_ex,dollar_price
2004-05-01,UAH,Ukraine,7.25,5.3315,1.3598424458407576
2004-05-01,UYU,Uruguay,29.8,29.735,1.0021859761224148
2004-05-01,USD,United States,2.47,1,2.47
2004-05-01,VEF,Venezuela,4400,2977,1.477997984548203
2004-05-01,ZAR,South Africa,12.4,6.66,1.8618618618618619
2005-06-01,AED,UAE,9,3.6725,2.450646698434309
2005-06-01,ARS,Argentina,4.75,2.897,1.6396272005522956
2005-06-01,AUD,Australia,3.25,1.3015,2.4971187091817133
2005-06-01,BRL,Brazil,5.9,2.4648,2.393703343070432
2005-06-01,CAD,Canada,3.28,1.2494,2.6252601248599325
2005-06-01,CHF,Switzerland,6.3,1.2475,5.050100200400801
2005-06-01,CLP,Chile,1500,592.45,2.531859228626888
2005-06-01,CNY,China,10.5,8.2764,1.2686675366101203
2005-06-01,COP,Colombia,6500,2327.7,2.7924560725179366
2005-06-01,CRC,Costa Rica,1130,475.3,2.3774458236903007
2005-06-01,CZK,Czech Republic,56.42,24.5409,2.2990191883753246
2005-06-01,DKK,Denmark,27.75,6.0647,4.57565914224941
2005-06-01,EGP,Egypt,9,5.8,1.5517241379310345
2005-06-01,EUR,Euro area,2.92,0.814929509,3.5831319982302907
2005-06-01,GBP,Britain,1.88,0.546448087,3.4404000027179156
2005-06-01,HKD,Hong Kong,12,7.7807,1.5422776870975619
2005-06-01,HUF,Hungary,530,203.643,2.6025937547570996
2005-06-01,IDR,Indonesia,14600,9545,1.529596647459403
2005-06-01,JPY,Japan,250,106.715,2.342688469287354
2005-06-01,KRW,South Korea,2500,1005.5,2.486325211337643
2005-06-01,LKR,Sri Lanka,175,99.945,1.7509630296663166
2005-06-01,MXN,Mexico,28,10.8675,2.576489533011272
2005-06-01,MYR,Malaysia,5.25,3.8,1.381578947368421
2005-06-01,NOK,Norway,39,6.4326,6.062867269844231
2005-06-01,NZD,New Zealand,4.45,1.4023,3.1733580546245452
2005-06-01,PKR,Pakistan,130,59.62,2.1804763502180475
2005-06-01,PEN,Peru,8.99,3.2546,2.762244208197628
2005-06-01,PHP,Philippines,80,54.55,1.466544454628781
2005-06-01,PLN,Poland,6.5,3.3096,1.9639835629683344
2005-06-01,RUB,Russia,42,28.4055,1.4785868933833237
2005-06-01,SAR,Saudi Arabia,9,3.7501,2.399936001706621
2005-06-01,SGD,Singapore,3.6,1.6607,2.1677605828867343
2005-06-01,SEK,Sweden,31,7.4402,4.166554662509072
2005-06-01,THB,Thailand,60,40.53,1.4803849000740192
2005-06-01,TRY,Turkey,4,1.369,2.9218407596785974
2005-06-01,TWD,Taiwan,75,31.175,2.405773857257418
2005-06-01,UAH,Ukraine,7.25,5.06,1.432806324110672
2005-06-01,UYU,Uruguay,44,24.125,1.8238341968911918
2005-06-01,USD,United States,2.58,1,2.58
2005-06-01,VEF,Venezuela,5600,2629.62,2.1295852632699783
2005-06-01,ZAR,South Africa,13.95,6.6482,2.0983123251406393
2006-01-01,ARS,Argentina,4.75,3.0638,1.550362295188981
2006-01-01,AUD,Australia,3.25,1.3308,2.442140066125639
2006-01-01,BRL,Brazil,6.2,2.2615,2.74154322352421
2006-01-01,CAD,Canada,3.52,1.1704,3.007518796992481
2006-01-01,CHF,Switzerland,6.3,1.2776,4.931120851596743
2006-01-01,CLP,Chile,1560,522.75,2.9842180774748925
2006-01-01,CNY,China,10.5,8.0641,1.302067186666832
2006-01-01,CZK,Czech Republic,62,23.8375,2.6009438909281597
2006-01-01,DKK,Denmark,27.75,6.1769,4.492544804027911
2006-01-01,EGP,Egypt,9.25,5.74,1.6114982578397212
2006-01-01,EUR,Euro area,2.91,0.82815735,3.513824999560772
2006-01-01,GBP,Britain,1.88,0.566925563,3.3161319980909028
2006-01-01,HKD,Hong Kong,12,7.7512,1.5481473836309216
2006-01-01,HUF,Hungary,560,206.956,2.7058891745105242
2006-01-01,IDR,Indonesia,14600,9460,1.5433403805496828
2006-01-01,JPY,Japan,250,114.305,2.18713092165697
2006-01-01,KRW,South Korea,2500,977.45,2.5576755844288708
2006-01-01,MXN,Mexico,28,10.5425,2.6559165283376807
2006-01-01,MYR,Malaysia,5.5,3.7488,1.4671361502347418
2006-01-01,NZD,New Zealand,4.45,1.4467,3.0759659915670143
2006-01-01,PEN,Peru,9.5,3.446,2.7568195008705745
2006-01-01,PHP,Philippines,82,52.58,1.5595283377710156
2006-01-01,PLN,Poland,6.5,3.1151,2.086610381689191
2006-01-01,RUB,Russia,46,28.67,1.6044645971398674
2006-01-01,SGD,Singapore,3.6,1.6353,2.2014309301045683
2006-01-01,SEK,Sweden,33,7.7119,4.279101129423359
2006-01-01,THB,Thailand,60,39.755,1.5092441202364482
2006-01-01,TRY,Turkey,4.1,1.3365,3.0677141788252897
2006-01-01,TWD,Taiwan,75,31.9495,2.3474545767539396
2006-01-01,USD,United States,2.67,1,2.67
2006-01-01,VEF,Venezuela,5900,2615.92,2.255420655065904
2006-01-01,ZAR,South Africa,13.95,6.0803,2.2942946894067724
2006-05-01,AED,UAE,9,3.6726,2.4505799705930404
2006-05-01,ARS,Argentina,7,3.0565,2.290201210534925
2006-05-01,AUD,Australia,3.25,1.33253,2.4389694791111647
2006-05-01,BRL,Brazil,6.4,2.3045,2.777175092210892
2006-05-01,CAD,Canada,3.52,1.12045,3.141594894908296
2006-05-01,CHF,Switzerland,6.3,1.20885,5.211564710261819
2006-05-01,CLP,Chile,1560,529.95,2.9436739315029716
2006-05-01,CNY,China,10.5,8.026,1.3082481933715424
2006-05-01,COP,Colombia,6500,2503.6,2.596261383607605
2006-05-01,CRC,Costa Rica,1130,509.535,2.217708302668119
2006-05-01,CZK,Czech Republic,59.05,22.1078,2.6710029944182594
2006-05-01,DKK,Denmark,27.75,5.81825,4.769475357710652
2006-05-01,EGP,Egypt,9.5,5.77075,1.6462331586015684
2006-05-01,EUR,Euro area,2.939573529,0.780365992,3.7669164970479647
2006-05-01,GBP,Britain,1.94,0.531801744,3.647976002124581
2006-05-01,HKD,Hong Kong,12,7.7533,1.5477280641791236
2006-05-01,HUF,Hungary,560,206.3444,2.7139093670581804
2006-05-01,IDR,Indonesia,14600,9325,1.5656836461126005
2006-05-01,JPY,Japan,250,112.105,2.2300521832210873
2006-05-01,KRW,South Korea,2500,952.4,2.624947501049979
2006-05-01,LKR,Sri Lanka,190,102.955,1.8454664659317177
2006-05-01,MXN,Mexico,29,11.3031,2.5656678256407535
2006-05-01,MYR,Malaysia,5.5,3.6295,1.5153602424576387
2006-05-01,NOK,Norway,43,6.1023,7.046523441980893
2006-05-01,NZD,New Zealand,4.45,1.62101,2.745202065378992
2006-05-01,PKR,Pakistan,130,60.055,2.164682374490051
2006-05-01,PEN,Peru,9.5,3.261,2.913216804661147
2006-05-01,PHP,Philippines,85,52.625,1.6152019002375297
2006-05-01,PLN,Poland,6.5,3.09915,2.0973492731878096
2006-05-01,RUB,Russia,48,27.06375,1.7735901344048774
2006-05-01,SAR,Saudi Arabia,9,3.749,2.40064017071219
2006-05-01,SGD,Singapore,3.6,1.5873,2.268002268002268
2006-05-01,SEK,Sweden,33,7.28455,4.530135698155686
2006-05-01,THB,Thailand,60,38.445,1.5606710885680843
2006-05-01,TRY,Turkey,4.2,1.5415,2.7246188777165097
2006-05-01,TWD,Taiwan,75,32.141,2.333468155937899
2006-05-01,UAH,Ukraine,8.5,5.05,1.6831683168316833
2006-05-01,UYU,Uruguay,42.28,23.925,1.767189132706374
2006-05-01,USD,United States,2.78,1,2.78
2006-05-01,VEF,Venezuela,5701.25,2519.58,2.262777923304678
2006-05-01,ZAR,South Africa,13.95,6.597,2.1145975443383356
2007-01-01,AED,UAE,10,3.6726,2.722866633992267
2007-01-01,ARS,Argentina,8.25,3.08875,2.670983407527317
2007-01-01,AUD,Australia,3.45,1.266865,2.723257805685689
2007-01-01,BRL,Brazil,6.4,2.1335,2.999765643309116
2007-01-01,CAD,Canada,3.63,1.17485,3.089756139081585
2007-01-01,CHF,Switzerland,6.3,1.2485,5.046055266319583
2007-01-01,CLP,Chile,1670,540.15,3.091733777654355
2007-01-01,CNY,China,11,7.7743,1.414918384934978
2007-01-01,COP,Colombia,6900,2239.325,3.0812856552755856
2007-01-01,CRC,Costa Rica,1130,509.535,2.217708302668119
2007-01-01,CZK,Czech Republic,52.1,21.50115,2.4231262048774136
2007-01-01,DKK,Denmark,27.75,5.75305,4.82352838928916
2007-01-01,EGP,Egypt,9.09,5.7,1.594736842105263
2007-01-01,EUR,Euro area,2.94,0.771813376,3.809210997659621
2007-01-01,GBP,Britain,1.94,0.506034461,3.8337309995968827
